"ID" "SIZE" "HH" "TYPE" "TIME" "S_NUM" "I_NUM"
"371" 371 4 84 "H" 324 1 0
"372" 372 4 84 NA NA NA 0
"373" 373 4 84 "C" 303 2 1
"374" 374 6 85 NA NA NA 0
"375" 375 6 85 NA NA NA 0
"376" 376 6 85 NA NA NA 0
"377" 377 6 85 NA NA NA 0
"378" 378 6 85 NA NA NA 0
"379" 379 6 85 NA NA NA 0
"380" 380 5 86 "H" NA NA 0
"381" 381 5 86 "C" 363 1 0
"382" 382 5 86 "H" NA NA 0
"383" 383 5 86 "C" 348 3 2
"384" 384 5 86 NA NA NA 0
"385" 385 6 87 NA NA NA 0
"386" 386 6 87 NA NA NA 0
"387" 387 6 87 NA NA NA 0
"388" 388 6 87 NA NA NA 0
"389" 389 6 87 NA NA NA 0
"390" 390 6 87 NA NA NA 0
"391" 391 6 88 "H" NA NA 0
"392" 392 6 88 NA NA NA 0
"393" 393 6 88 "C" 364 5 1
"394" 394 6 88 NA NA NA 0
"395" 395 6 88 NA NA NA 0
"396" 396 6 88 NA NA NA 0
"397" 397 4 89 "C" NA NA 0
"398" 398 4 89 NA NA NA 0
"399" 399 4 89 NA NA NA 0
"400" 400 4 89 NA NA NA 0
"401" 401 5 90 NA NA NA 0
"402" 402 5 90 NA NA NA 0
"403" 403 5 90 NA NA NA 0
"404" 404 5 90 "C" NA NA 0
"405" 405 5 90 NA NA NA 0
"406" 406 6 91 NA NA NA 0
"407" 407 6 91 NA NA NA 0
"408" 408 6 91 NA NA NA 0
"409" 409 6 91 NA NA NA 0
"410" 410 6 91 NA NA NA 0
"411" 411 6 91 NA NA NA 0
"412" 412 6 92 NA NA NA 0
"413" 413 6 92 NA NA NA 0
"414" 414 6 92 NA NA NA 0
"415" 415 6 92 NA NA NA 0
"416" 416 6 92 "C" NA NA 0
"417" 417 6 92 NA NA NA 0
"418" 418 3 93 NA NA NA 0
"419" 419 3 93 NA NA NA 0
"420" 420 3 93 NA NA NA 0
"421" 421 4 94 NA NA NA 0
"422" 422 4 94 NA NA NA 0
"423" 423 4 94 "C" 361 3 1
"424" 424 4 94 "H" NA NA 0
"425" 425 3 95 NA NA NA 0
"426" 426 3 95 NA NA NA 0
"427" 427 3 95 NA NA NA 0
"428" 428 6 96 "H" 344 2 0
"429" 429 6 96 NA NA NA 0
"430" 430 6 96 "H" 361 2 0
"431" 431 6 96 NA NA NA 0
"432" 432 6 96 "H" 327 4 2
"433" 433 6 96 "C" 298 5 1
"434" 434 4 97 "H" 242 1 1
"435" 435 4 97 "H" 230 1 0
"436" 436 4 97 "C" 197 3 2
"437" 437 4 97 "H" 284 0 0
"438" 438 4 98 NA NA NA 0
"439" 439 4 98 NA NA NA 0
"440" 440 4 98 NA NA NA 0
"441" 441 4 98 "C" NA NA 0
"442" 442 4 99 NA NA NA 0
"443" 443 4 99 NA NA NA 0
"444" 444 4 99 "C" NA NA 0
"445" 445 4 99 NA NA NA 0
"446" 446 3 100 NA NA NA 0
"447" 447 3 100 NA NA NA 0
"448" 448 3 100 NA NA NA 0
"449" 449 6 101 NA NA NA 0
"450" 450 6 101 NA NA NA 0
"451" 451 6 101 NA NA NA 0
"452" 452 6 101 NA NA NA 0
"453" 453 6 101 NA NA NA 0
"454" 454 6 101 NA NA NA 0
"455" 455 4 102 "H" 293 2 1
"456" 456 4 102 "C" 246 3 1
"457" 457 4 102 "H" 320 1 0
"458" 458 4 102 NA NA NA 0
"459" 459 3 103 NA NA NA 0
"460" 460 3 103 NA NA NA 0
"461" 461 3 103 NA NA NA 0
"462" 462 6 104 "H" 345 0 0
"463" 463 6 104 "H" 323 2 2
"464" 464 6 104 "H" 289 2 0
"465" 465 6 104 "H" NA NA 0
"466" 466 6 104 "H" 267 3 1
"467" 467 6 104 "C" 251 5 2
"468" 468 3 105 NA NA NA 0
"469" 469 3 105 NA NA NA 0
"470" 470 3 105 NA NA NA 0
"471" 471 3 106 NA NA NA 0
"472" 472 3 106 "C" 291 2 0
"473" 473 3 106 NA NA NA 0
"474" 474 5 107 NA NA NA 0
"475" 475 5 107 NA NA NA 0
"476" 476 5 107 NA NA NA 0
"477" 477 5 107 NA NA NA 0
"478" 478 5 107 NA NA NA 0
"479" 479 4 108 NA NA NA 0
"480" 480 4 108 NA NA NA 0
"481" 481 4 108 NA NA NA 0
"482" 482 4 108 NA NA NA 0
"483" 483 6 109 "C" NA NA 0
"484" 484 6 109 NA NA NA 0
"485" 485 6 109 NA NA NA 0
"486" 486 6 109 NA NA NA 0
"487" 487 6 109 NA NA NA 0
"488" 488 6 109 NA NA NA 0
"489" 489 3 110 NA NA NA 0
"490" 490 3 110 NA NA NA 0
"491" 491 3 110 NA NA NA 0
"492" 492 4 111 NA NA NA 0
"493" 493 4 111 "C" 344 2 0
"494" 494 4 111 NA NA NA 0
"495" 495 4 111 "C" 233 3 0
"496" 496 5 112 NA NA NA 0
"497" 497 5 112 NA NA NA 0
"498" 498 5 112 NA NA NA 0
"499" 499 5 112 NA NA NA 0
"500" 500 5 112 "C" 329 4 0
"501" 501 3 113 NA NA NA 0
"502" 502 3 113 NA NA NA 0
"503" 503 3 113 NA NA NA 0
"504" 504 6 114 "H" 352 4 2
"505" 505 6 114 "H" NA NA 0
"506" 506 6 114 "C" 325 5 1
"507" 507 6 114 "H" NA NA 0
"508" 508 6 114 NA NA NA 0
"509" 509 6 114 NA NA NA 0
"510" 510 3 115 NA NA NA 0
"511" 511 3 115 NA NA NA 0
"512" 512 3 115 NA NA NA 0
"513" 513 6 116 NA NA NA 0
"514" 514 6 116 NA NA NA 0
"515" 515 6 116 NA NA NA 0
"516" 516 6 116 NA NA NA 0
"517" 517 6 116 "C" 361 5 1
"518" 518 6 116 "H" NA NA 0
"519" 519 3 117 NA NA NA 0
"520" 520 3 117 NA NA NA 0
"521" 521 3 117 NA NA NA 0
