"ID" "SIZE" "HH" "TYPE" "TIME" "S_num" "I_num"
"360" 360 6 79 "E" 81 3 0
"361" 361 4 80 "E" 324 0 0
"362" 362 4 80 "E" 181 1 0
"363" 363 4 80 "E" 104 2 0
"364" 364 4 80 "E" 100 2 0
"365" 365 4 81 "E" 172 1 0
"366" 366 4 81 "E" 50 3 0
"367" 367 4 81 "E" 125 2 0
"368" 368 4 81 "E" 311 0 0
"369" 369 4 82 "E" 32 3 0
"370" 370 4 82 "E" 122 1 0
"371" 371 4 82 "E" 238 0 0
"372" 372 4 82 "E" 101 1 0
"373" 373 4 83 "E" 85 1 0
"374" 374 4 83 "E" 149 0 0
"375" 375 4 83 "E" 44 3 1
"376" 376 4 83 "E" 92 1 0
"377" 377 4 84 "E" 67 2 0
"378" 378 4 84 "E" 62 2 0
"379" 379 4 84 "E" 253 0 0
"380" 380 4 84 "E" 176 0 0
"381" 381 6 85 "E" 56 0 0
"382" 382 6 85 "E" 56 0 0
"383" 383 6 85 "E" 62 0 0
"384" 384 6 85 "E" 87 0 0
"385" 385 6 85 "E" 75 0 0
"386" 386 6 85 "E" 79 0 0
"387" 387 5 86 "E" 137 1 0
"388" 388 5 86 "E" 125 1 0
"389" 389 5 86 "E" 301 0 0
"390" 390 5 86 "E" 135 1 0
"391" 391 5 86 "E" 117 2 1
"392" 392 3 87 "E" 51 2 0
"393" 393 3 87 "E" 139 0 0
"394" 394 3 87 "E" 171 0 0
"395" 395 5 88 "E" 117 0 0
"396" 396 5 88 "E" 52 3 0
"397" 397 5 88 "E" 129 0 0
"398" 398 5 88 "E" 105 1 1
"399" 399 5 88 "E" 156 0 0
"400" 400 5 89 "E" 38 1 0
"401" 401 5 89 "E" 45 1 0
"402" 402 5 89 "E" 54 1 0
"403" 403 5 89 "E" 107 0 0
"404" 404 5 89 "E" 40 1 0
"405" 405 4 90 "E" 143 1 0
"406" 406 4 90 NA NA NA 0
"407" 407 4 90 "E" 143 1 0
"408" 408 4 90 "E" 104 1 0
"409" 409 6 91 "E" 105 4 0
"410" 410 6 91 "E" 264 2 0
"411" 411 6 91 "E" 224 2 0
"412" 412 6 91 "E" NA NA 0
"413" 413 6 91 "E" 40 5 0
"414" 414 6 91 "E" 355 0 0
"415" 415 6 92 "E" 98 2 0
"416" 416 6 92 "E" 162 0 0
"417" 417 6 92 "E" 133 1 1
"418" 418 6 92 "E" 83 2 0
"419" 419 6 92 "E" 52 4 1
"420" 420 6 92 "E" 27 4 0
"421" 421 4 93 "E" 91 1 0
"422" 422 4 93 "E" 225 0 0
"423" 423 4 93 "E" 62 1 0
"424" 424 4 93 "E" 82 1 0
"425" 425 6 94 "E" 135 2 0
"426" 426 6 94 "E" 160 2 0
"427" 427 6 94 "E" 242 0 0
